id,action_id,verb_id,noun_id,action_cls,verb_cls,noun_cls
551,1231,6,72,screw front base with hand,screw,front base
552,827,6,72,screw front base with screwdriver,screw,front base
553,425,14,54,tilt down clamp arm,tilt down,clamp arm
554,426,9,25,remove screw from front body,remove screw from,front body
555,403,2,36,inspect bulldozer arm,inspect,bulldozer arm
556,1235,15,25,pull front body,pull,front body
557,69,12,3,attempt to position cabin,attempt to position,cabin
558,350,22,4,attempt to screw chassis,attempt to screw,chassis
559,374,15,1,pull screw,pull,screw
560,911,20,4,attempt to put down chassis,attempt to put down,chassis
561,269,2,1,inspect screw,inspect,screw
562,1145,19,25,attempt to unscrew front body,attempt to unscrew,front body
563,133,0,41,pick up screwdriver bit,pick up,screwdriver bit
564,570,10,41,pass screwdriver bit to other hand,pass,screwdriver bit
565,1067,4,52,unscrew engine cover with screwdriver bit,unscrew,engine cover
566,866,4,52,unscrew engine cover with hand,unscrew,engine cover
567,569,7,52,remove engine cover,remove,engine cover
568,420,1,52,put down engine cover,put down,engine cover
569,625,10,19,pass nut to other hand,pass,nut
570,756,4,19,unscrew nut with hand,unscrew,nut
571,486,4,11,unscrew fourth wheel with screwdriver bit,unscrew,fourth wheel
572,624,2,41,inspect screwdriver bit,inspect,screwdriver bit
573,831,4,4,unscrew chassis with screwdriver bit,unscrew,chassis
574,395,16,4,attempt to remove chassis,attempt to remove,chassis
575,832,4,29,unscrew rear roof with screwdriver bit,unscrew,rear roof
576,305,9,29,remove screw from rear roof,remove screw from,rear roof
577,314,7,29,remove rear roof,remove,rear roof
578,295,1,29,put down rear roof,put down,rear roof
579,1068,4,69,unscrew spare wheel with screwdriver bit,unscrew,spare wheel
580,833,7,69,remove spare wheel,remove,spare wheel
581,834,9,69,remove screw from spare wheel,remove screw from,spare wheel
582,865,1,69,put down spare wheel,put down,spare wheel
583,323,7,33,remove body,remove,body
584,547,10,33,pass body to other hand,pass,body
585,240,1,33,put down body,put down,body
586,224,0,33,pick up body,pick up,body
587,283,5,33,position body,position,body
588,757,0,69,pick up spare wheel,pick up,spare wheel
589,694,5,69,position spare wheel,position,spare wheel
590,758,8,69,position screw on spare wheel,position screw on,spare wheel
591,1236,6,69,screw spare wheel with drill,screw,spare wheel
592,546,1,76,put down drill,put down,drill
593,306,0,29,pick up rear roof,pick up,rear roof
594,326,5,29,position rear roof,position,rear roof
595,245,8,29,position screw on rear roof,position screw on,rear roof
596,590,6,29,screw rear roof with hand,screw,rear roof
597,485,0,76,pick up drill,pick up,drill
598,1069,6,29,screw rear roof with drill,screw,rear roof
599,140,1,41,put down screwdriver bit,put down,screwdriver bit
600,368,0,52,pick up engine cover,pick up,engine cover
601,1146,10,52,pass engine cover to other hand,pass,engine cover
602,471,5,52,position engine cover,position,engine cover
603,589,8,52,position screw on engine cover,position screw on,engine cover
604,1015,3,52,rotate engine cover,rotate,engine cover
605,716,6,52,screw engine cover with hand,screw,engine cover
606,837,9,52,remove screw from engine cover,remove screw from,engine cover
607,717,16,29,attempt to remove rear roof,attempt to remove,rear roof
608,626,4,29,unscrew rear roof with hand,unscrew,rear roof
609,591,3,29,rotate rear roof,rotate,rear roof
610,1345,4,69,unscrew spare wheel with hand,unscrew,spare wheel
611,1148,20,33,attempt to put down body,attempt to put down,body
612,451,4,6,unscrew first wheel with screwdriver bit,unscrew,first wheel
613,504,4,8,unscrew second wheel with screwdriver bit,unscrew,second wheel
614,472,4,9,unscrew third wheel with screwdriver bit,unscrew,third wheel
615,836,15,4,pull chassis,pull,chassis
616,296,22,18,attempt to screw wheel,attempt to screw,wheel
617,513,6,6,screw first wheel with screwdriver bit,screw,first wheel
618,571,6,9,screw third wheel with screwdriver bit,screw,third wheel
619,1070,3,41,rotate screwdriver bit,rotate,screwdriver bit
620,1016,17,29,attempt to pick up rear roof,attempt to pick up,rear roof
621,835,6,69,screw spare wheel with hand,screw,spare wheel
622,669,2,76,inspect drill,inspect,drill
623,1147,5,41,position screwdriver bit,position,screwdriver bit
624,512,3,33,rotate body,rotate,body
625,225,6,29,screw rear roof with screwdriver,screw,rear roof
626,1344,6,52,screw engine cover with drill,screw,engine cover
627,789,19,23,attempt to unscrew arm connector,attempt to unscrew,arm connector
628,427,4,36,unscrew bulldozer arm with screwdriver,unscrew,bulldozer arm
629,790,4,36,unscrew bulldozer arm with hand,unscrew,bulldozer arm
630,452,9,36,remove screw from bulldozer arm,remove screw from,bulldozer arm
631,160,2,13,inspect arm,inspect,arm
632,1237,22,24,attempt to screw bucket,attempt to screw,bucket
633,73,21,18,spin wheel,spin,wheel
634,279,11,36,tilt up bulldozer arm,tilt up,bulldozer arm
635,284,14,36,tilt down bulldozer arm,tilt down,bulldozer arm
636,487,6,23,screw arm connector with hand,screw,arm connector
637,1017,3,74,rotate cabin window,rotate,cabin window
638,270,4,29,unscrew rear roof with screwdriver,unscrew,rear roof
639,670,10,29,pass rear roof to other hand,pass,rear roof
640,267,0,51,pick up rear door,pick up,rear door
641,453,7,51,remove rear door,remove,rear door
642,386,1,51,put down rear door,put down,rear door
643,718,16,30,attempt to remove transport cabin,attempt to remove,transport cabin
644,172,4,30,unscrew transport cabin with screwdriver,unscrew,transport cabin
645,404,7,30,remove transport cabin,remove,transport cabin
646,307,3,30,rotate transport cabin,rotate,transport cabin
647,505,10,30,pass transport cabin to other hand,pass,transport cabin
648,411,1,30,put down transport cabin,put down,transport cabin
649,78,11,7,tilt up roof,tilt up,roof
650,94,14,7,tilt down roof,tilt down,roof
651,572,7,61,remove sound module,remove,sound module
652,387,0,30,pick up transport cabin,pick up,transport cabin
653,530,12,30,attempt to position transport cabin,attempt to position,transport cabin
654,256,2,30,inspect transport cabin,inspect,transport cabin
655,375,5,30,position transport cabin,position,transport cabin
656,548,2,29,inspect rear roof,inspect,rear roof
657,719,10,51,pass rear door to other hand,pass,rear door
658,759,12,51,attempt to position rear door,attempt to position,rear door
659,671,3,51,rotate rear door,rotate,rear door
660,315,5,51,position rear door,position,rear door
661,335,8,30,position screw on transport cabin,position screw on,transport cabin
662,226,6,30,screw transport cabin with screwdriver,screw,transport cabin
663,488,2,51,inspect rear door,inspect,rear door
664,867,4,14,unscrew front bumper with screwdriver bit,unscrew,front bumper
665,955,4,16,unscrew dump bed with screwdriver bit,unscrew,dump bed
666,574,4,16,unscrew dump bed with hand,unscrew,dump bed
667,253,7,16,remove dump bed,remove,dump bed
668,177,1,16,put down dump bed,put down,dump bed
669,181,0,16,pick up dump bed,pick up,dump bed
670,156,2,16,inspect dump bed,inspect,dump bed
671,216,5,16,position dump bed,position,dump bed
672,514,6,16,screw dump bed with hand,screw,dump bed
673,1018,6,16,screw dump bed with screwdriver bit,screw,dump bed
674,246,8,16,position screw on dump bed,position screw on,dump bed
675,1071,6,14,screw front bumper with screwdriver bit,screw,front bumper
676,652,6,8,screw second wheel with screwdriver bit,screw,second wheel
677,573,6,11,screw fourth wheel with screwdriver bit,screw,fourth wheel
678,90,11,16,tilt up dump bed,tilt up,dump bed
679,102,14,16,tilt down dump bed,tilt down,dump bed
680,454,4,52,unscrew engine cover with screwdriver,unscrew,engine cover
681,1149,20,52,attempt to put down engine cover,attempt to put down,engine cover
682,627,4,66,unscrew spoiler with screwdriver,unscrew,spoiler
683,791,7,66,remove spoiler,remove,spoiler
684,1241,10,66,pass spoiler to other hand,pass,spoiler
685,720,1,66,put down spoiler,put down,spoiler
686,957,4,59,unscrew rocker panel with screwdriver,unscrew,rocker panel
687,958,9,59,remove screw from rocker panel,remove screw from,rocker panel
688,490,7,59,remove rocker panel,remove,rocker panel
689,489,1,59,put down rocker panel,put down,rocker panel
690,1240,16,59,attempt to remove rocker panel,attempt to remove,rocker panel
691,1346,4,59,unscrew rocker panel with hand,unscrew,rocker panel
692,360,2,33,inspect body,inspect,body
693,1072,4,81,unscrew engine with screwdriver,unscrew,engine
694,1073,16,81,attempt to remove engine,attempt to remove,engine
695,1238,9,81,remove screw from engine,remove screw from,engine
696,956,7,81,remove engine,remove,engine
697,912,1,81,put down engine,put down,engine
698,1239,8,81,position screw on engine,position screw on,engine
699,868,0,81,pick up engine,pick up,engine
700,869,5,81,position engine,position,engine
701,1150,6,81,screw engine with screwdriver,screw,engine
702,455,0,59,pick up rocker panel,pick up,rocker panel
703,1074,3,59,rotate rocker panel,rotate,rocker panel
704,515,5,59,position rocker panel,position,rocker panel
705,760,8,59,position screw on rocker panel,position screw on,rocker panel
706,959,6,59,screw rocker panel with hand,screw,rocker panel
707,792,6,59,screw rocker panel with screwdriver,screw,rocker panel
708,628,0,66,pick up spoiler,pick up,spoiler
709,695,5,66,position spoiler,position,spoiler
710,672,6,66,screw spoiler with screwdriver,screw,spoiler
711,332,2,14,inspect front bumper,inspect,front bumper
712,592,6,52,screw engine cover with screwdriver,screw,engine cover
713,721,17,5,attempt to pick up finished toy,attempt to pick up,finished toy
714,178,13,18,push wheel,push,wheel
715,549,16,14,attempt to remove front bumper,attempt to remove,front bumper
716,609,17,4,attempt to pick up chassis,attempt to pick up,chassis
717,550,2,2,inspect screwdriver,inspect,screwdriver
718,629,19,3,attempt to unscrew cabin,attempt to unscrew,cabin
719,1020,16,19,attempt to remove nut,attempt to remove,nut
720,531,1,79,put down wrench,put down,wrench
721,285,13,2,push screwdriver,push,screwdriver
722,421,0,79,pick up wrench,pick up,wrench
723,1019,4,6,unscrew first wheel with wrench,unscrew,first wheel
724,377,12,14,attempt to position front bumper,attempt to position,front bumper
725,913,4,8,unscrew second wheel with wrench,unscrew,second wheel
726,1021,4,9,unscrew third wheel with wrench,unscrew,third wheel
727,593,16,24,attempt to remove bucket,attempt to remove,bucket
728,192,2,22,inspect excavator arm,inspect,excavator arm
729,111,11,22,tilt up excavator arm,tilt up,excavator arm
730,228,4,20,unscrew boom with screwdriver,unscrew,boom
731,254,9,20,remove screw from boom,remove screw from,boom
732,761,16,22,attempt to remove excavator arm,attempt to remove,excavator arm
733,1075,20,20,attempt to put down boom,attempt to put down,boom
734,696,16,32,attempt to remove turntable top,attempt to remove,turntable top
735,220,4,21,unscrew rear bumper with screwdriver,unscrew,rear bumper
736,532,10,21,pass rear bumper to other hand,pass,rear bumper
737,312,8,21,position screw on rear bumper,position screw on,rear bumper
738,456,6,21,screw rear bumper with hand,screw,rear bumper
739,376,3,21,rotate rear bumper,rotate,rear bumper
740,342,6,21,screw rear bumper with screwdriver,screw,rear bumper
741,388,12,28,attempt to position turntable base,attempt to position,turntable base
742,324,12,20,attempt to position boom,attempt to position,boom
743,960,13,24,push bucket,push,bucket
744,793,20,13,attempt to put down arm,attempt to put down,arm
745,378,10,14,pass front bumper to other hand,pass,front bumper
746,697,3,14,rotate front bumper,rotate,front bumper
747,594,4,21,unscrew rear bumper with hand,unscrew,rear bumper
748,533,20,18,attempt to put down wheel,attempt to put down,wheel
749,1076,6,8,screw second wheel with wrench,screw,second wheel
750,1151,6,9,screw third wheel with wrench,screw,third wheel
751,1152,6,11,screw fourth wheel with wrench,screw,fourth wheel
752,396,2,21,inspect rear bumper,inspect,rear bumper
753,211,4,16,unscrew dump bed with screwdriver,unscrew,dump bed
754,351,9,16,remove screw from dump bed,remove screw from,dump bed
755,325,9,2,remove screw from screwdriver,remove screw from,screwdriver
756,961,20,7,attempt to put down roof,attempt to put down,roof
757,491,19,10,attempt to unscrew interior,attempt to unscrew,interior
758,113,4,12,unscrew rear base with screwdriver,unscrew,rear base
759,197,9,12,remove screw from rear base,remove screw from,rear base
760,148,6,12,screw rear base with screwdriver,screw,rear base
761,206,8,12,position screw on rear base,position screw on,rear base
762,255,3,16,rotate dump bed,rotate,dump bed
763,297,6,16,screw dump bed with screwdriver,screw,dump bed
764,1153,22,16,attempt to screw dump bed,attempt to screw,dump bed
765,595,22,10,attempt to screw interior,attempt to screw,interior
766,551,4,12,unscrew rear base with hand,unscrew,rear base
767,698,12,38,attempt to position step,attempt to position,step
768,257,16,18,attempt to remove wheel,attempt to remove,wheel
769,870,19,14,attempt to unscrew front bumper,attempt to unscrew,front bumper
770,534,23,3,shake cabin,shake,cabin
771,1243,17,48,attempt to pick up grill,attempt to pick up,grill
772,397,0,48,pick up grill,pick up,grill
773,369,5,48,position grill,position,grill
774,1242,3,48,rotate grill,rotate,grill
775,838,2,19,inspect nut,inspect,nut
776,914,17,41,attempt to pick up screwdriver bit,attempt to pick up,screwdriver bit
777,379,11,5,tilt up finished toy,tilt up,finished toy
778,1245,4,15,unscrew rear body with drill,unscrew,rear body
779,653,4,15,unscrew rear body with hand,unscrew,rear body
780,596,19,15,attempt to unscrew rear body,attempt to unscrew,rear body
781,1347,4,67,unscrew clamp with drill,unscrew,clamp
782,699,13,19,push nut,push,nut
783,1244,4,13,unscrew arm with drill,unscrew,arm
784,1155,4,10,unscrew interior with drill,unscrew,interior
785,1077,6,10,screw interior with drill,screw,interior
786,1154,6,15,screw rear body with drill,screw,rear body
787,631,11,67,tilt up clamp,tilt up,clamp
788,630,14,67,tilt down clamp,tilt down,clamp
789,436,9,21,remove screw from rear bumper,remove screw from,rear bumper
790,473,4,20,unscrew boom with hand,unscrew,boom
791,1246,22,21,attempt to screw rear bumper,attempt to screw,rear bumper
792,336,1,22,put down excavator arm,put down,excavator arm
793,839,20,23,attempt to put down arm connector,attempt to put down,arm connector
794,535,12,22,attempt to position excavator arm,attempt to position,excavator arm
795,654,9,22,remove screw from excavator arm,remove screw from,excavator arm
796,249,12,23,attempt to position arm connector,attempt to position,arm connector
797,575,16,21,attempt to remove rear bumper,attempt to remove,rear bumper
798,762,19,13,attempt to unscrew arm,attempt to unscrew,arm
799,1022,19,22,attempt to unscrew excavator arm,attempt to unscrew,excavator arm
800,506,3,23,rotate arm connector,rotate,arm connector
801,286,11,13,tilt up arm,tilt up,arm
802,1078,17,22,attempt to pick up excavator arm,attempt to pick up,excavator arm
803,258,12,7,attempt to position roof,attempt to position,roof
804,115,16,3,attempt to remove cabin,attempt to remove,cabin
805,597,17,21,attempt to pick up rear bumper,attempt to pick up,rear bumper
806,198,12,21,attempt to position rear bumper,attempt to position,rear bumper
807,962,13,21,push rear bumper,push,rear bumper
808,1079,4,35,unscrew water tank with hand,unscrew,water tank
809,1348,6,35,screw water tank with hand,screw,water tank
810,1156,16,35,attempt to remove water tank,attempt to remove,water tank
811,1157,19,35,attempt to unscrew water tank,attempt to unscrew,water tank
812,763,16,39,attempt to remove water tank part,attempt to remove,water tank part
813,1247,23,39,shake water tank part,shake,water tank part
814,794,3,39,rotate water tank part,rotate,water tank part
815,655,12,4,attempt to position chassis,attempt to position,chassis
816,209,10,10,pass interior to other hand,pass,interior
817,263,3,7,rotate roof,rotate,roof
818,915,15,17,pull diagram,pull,diagram
819,963,9,66,remove screw from spoiler,remove screw from,spoiler
820,916,16,66,attempt to remove spoiler,attempt to remove,spoiler
821,656,16,25,attempt to remove front body,attempt to remove,front body
822,964,20,14,attempt to put down front bumper,attempt to put down,front bumper
823,405,12,25,attempt to position front body,attempt to position,front body
824,764,13,7,push roof,push,roof
825,917,12,59,attempt to position rocker panel,attempt to position,rocker panel
826,795,8,66,position screw on spoiler,position screw on,spoiler
827,722,2,58,inspect ladder,inspect,ladder
828,674,1,58,put down ladder,put down,ladder
829,536,19,7,attempt to unscrew roof,attempt to unscrew,roof
830,840,13,12,push rear base,push,rear base
831,723,15,3,pull cabin,pull,cabin
832,492,17,10,attempt to pick up interior,attempt to pick up,interior
833,598,0,58,pick up ladder,pick up,ladder
834,1080,15,58,pull ladder,pull,ladder
835,1158,13,58,push ladder,push,ladder
836,1081,22,57,attempt to screw basket,attempt to screw,basket
837,673,15,34,pull ladder basket,pull,ladder basket
838,700,13,34,push ladder basket,push,ladder basket
839,1023,19,46,attempt to unscrew mixer stand,attempt to unscrew,mixer stand
840,1248,13,46,push mixer stand,push,mixer stand
841,493,6,46,screw mixer stand with screwdriver,screw,mixer stand
842,965,11,53,tilt up mixer,tilt up,mixer
843,1082,14,53,tilt down mixer,tilt down,mixer
844,1159,20,53,attempt to put down mixer,attempt to put down,mixer
845,457,4,48,unscrew grill with screwdriver,unscrew,grill
846,632,9,48,remove screw from grill,remove screw from,grill
847,443,7,48,remove grill,remove,grill
848,428,1,48,put down grill,put down,grill
849,398,8,48,position screw on grill,position screw on,grill
850,552,6,48,screw grill with screwdriver,screw,grill
851,633,4,40,unscrew cylinder with screwdriver,unscrew,cylinder
852,765,9,40,remove screw from cylinder,remove screw from,cylinder
853,327,1,40,put down cylinder,put down,cylinder
854,217,0,40,pick up cylinder,pick up,cylinder
855,271,5,40,position cylinder,position,cylinder
856,412,10,16,pass dump bed to other hand,pass,dump bed
857,1083,20,16,attempt to put down dump bed,attempt to put down,dump bed
858,537,2,50,inspect light,inspect,light
859,1024,12,50,attempt to position light,attempt to position,light
860,1025,17,16,attempt to pick up dump bed,attempt to pick up,dump bed
861,766,19,29,attempt to unscrew rear roof,attempt to unscrew,rear roof
862,1249,15,51,pull rear door,pull,rear door
863,1084,13,29,push rear roof,push,rear roof
864,796,22,3,attempt to screw cabin,attempt to screw,cabin
865,701,13,14,push front bumper,push,front bumper
866,702,12,29,attempt to position rear roof,attempt to position,rear roof
867,1250,22,30,attempt to screw transport cabin,attempt to screw,transport cabin
868,429,9,30,remove screw from transport cabin,remove screw from,transport cabin
869,1160,22,29,attempt to screw rear roof,attempt to screw,rear roof
870,1251,4,30,unscrew transport cabin with hand,unscrew,transport cabin
871,1349,13,30,push transport cabin,push,transport cabin
872,634,4,63,unscrew fifth wheel with screwdriver,unscrew,fifth wheel
873,918,9,63,remove screw from fifth wheel,remove screw from,fifth wheel
874,610,7,63,remove fifth wheel,remove,fifth wheel
875,576,1,63,put down fifth wheel,put down,fifth wheel
876,313,16,33,attempt to remove body,attempt to remove,body
877,724,3,42,rotate side door,rotate,side door
878,635,7,70,remove back seat,remove,back seat
879,703,1,70,put down back seat,put down,back seat
880,316,5,42,position side door,position,side door
881,474,2,42,inspect side door,inspect,side door
882,317,0,42,pick up side door,pick up,side door
883,361,1,42,put down side door,put down,side door
884,389,7,42,remove side door,remove,side door
885,676,11,33,tilt up body,tilt up,body
886,841,7,77,remove dashboard,remove,dashboard
887,1252,20,77,attempt to put down dashboard,attempt to put down,dashboard
888,797,1,77,put down dashboard,put down,dashboard
889,842,0,77,pick up dashboard,pick up,dashboard
890,966,12,77,attempt to position dashboard,attempt to position,dashboard
891,1161,2,77,inspect dashboard,inspect,dashboard
892,675,5,77,position dashboard,position,dashboard
893,599,0,70,pick up back seat,pick up,back seat
894,475,5,70,position back seat,position,back seat
895,1026,2,70,inspect back seat,inspect,back seat
896,1027,17,33,attempt to pick up body,attempt to pick up,body
897,577,12,42,attempt to position side door,attempt to position,side door
898,798,10,42,pass side door to other hand,pass,side door
899,871,6,69,screw spare wheel with screwdriver,screw,spare wheel
900,967,10,70,pass back seat to other hand,pass,back seat
901,636,0,63,pick up fifth wheel,pick up,fifth wheel
902,843,8,63,position screw on fifth wheel,position screw on,fifth wheel
903,725,6,63,screw fifth wheel with screwdriver,screw,fifth wheel
904,657,5,63,position fifth wheel,position,fifth wheel
905,968,14,42,tilt down side door,tilt down,side door
906,553,8,33,position screw on body,position screw on,body
907,969,4,63,unscrew fifth wheel with hand,unscrew,fifth wheel
908,1028,4,69,unscrew spare wheel with screwdriver,unscrew,spare wheel
909,1253,6,63,screw fifth wheel with hand,screw,fifth wheel
910,1029,16,46,attempt to remove mixer stand,attempt to remove,mixer stand
911,1162,15,21,pull rear bumper,pull,rear bumper
912,844,3,53,rotate mixer,rotate,mixer
913,872,9,53,remove screw from mixer,remove screw from,mixer
914,1163,10,53,pass mixer to other hand,pass,mixer
915,516,12,19,attempt to position nut,attempt to position,nut
916,1085,8,19,position screw on nut,position screw on,nut
917,1086,6,19,screw nut with screwdriver,screw,nut
918,873,12,53,attempt to position mixer,attempt to position,mixer
919,874,16,16,attempt to remove dump bed,attempt to remove,dump bed
920,637,2,56,inspect chassis part,inspect,chassis part
921,970,2,48,inspect grill,inspect,grill
922,1164,12,56,attempt to position chassis part,attempt to position,chassis part
923,658,3,56,rotate chassis part,rotate,chassis part
924,659,6,48,screw grill with hand,screw,grill
925,600,7,45,remove container,remove,container
926,639,4,55,unscrew lid with screwdriver,unscrew,lid
927,678,9,55,remove screw from lid,remove screw from,lid
928,1032,7,73,remove container part,remove,container part
929,578,1,73,put down container part,put down,container part
930,767,7,55,remove lid,remove,lid
931,612,1,55,put down lid,put down,lid
932,611,0,73,pick up container part,pick up,container part
933,972,10,73,pass container part to other hand,pass,container part
934,638,0,55,pick up lid,pick up,lid
935,799,5,55,position lid,position,lid
936,1087,3,73,rotate container part,rotate,container part
937,845,5,73,position container part,position,container part
938,971,2,73,inspect container part,inspect,container part
939,677,8,55,position screw on lid,position screw on,lid
940,1030,6,55,screw lid with hand,screw,lid
941,875,6,55,screw lid with screwdriver,screw,lid
942,1031,3,50,rotate light,rotate,light
943,390,11,55,tilt up lid,tilt up,lid
944,847,4,71,unscrew sixth wheel with screwdriver,unscrew,sixth wheel
945,768,7,71,remove sixth wheel,remove,sixth wheel
946,802,1,71,put down sixth wheel,put down,sixth wheel
947,800,0,71,pick up sixth wheel,pick up,sixth wheel
948,801,5,71,position sixth wheel,position,sixth wheel
949,919,8,71,position screw on sixth wheel,position screw on,sixth wheel
950,846,6,71,screw sixth wheel with screwdriver,screw,sixth wheel
951,1088,4,71,unscrew sixth wheel with hand,unscrew,sixth wheel
952,973,9,71,remove screw from sixth wheel,remove screw from,sixth wheel
953,726,4,42,unscrew side door with screwdriver,unscrew,side door
954,1089,9,42,remove screw from side door,remove screw from,side door
955,1090,23,18,shake wheel,shake,wheel
956,1033,16,84,attempt to remove rim,attempt to remove,rim
957,1254,7,84,remove rim,remove,rim
958,1165,13,35,push water tank,push,water tank
959,920,0,84,pick up rim,pick up,rim
960,769,5,84,position rim,position,rim
961,613,8,42,position screw on side door,position screw on,side door
962,876,6,42,screw side door with screwdriver,screw,side door
963,848,6,65,screw fire extinguisher with screwdriver,screw,fire extinguisher
964,877,4,42,unscrew side door with hand,unscrew,side door
965,1091,6,42,screw side door with hand,screw,side door
966,1255,17,65,attempt to pick up fire extinguisher,attempt to pick up,fire extinguisher
967,1092,13,22,push excavator arm,push,excavator arm
968,1034,19,28,attempt to unscrew turntable base,attempt to unscrew,turntable base
969,849,17,28,attempt to pick up turntable base,attempt to pick up,turntable base
970,507,12,24,attempt to position bucket,attempt to position,bucket
971,770,4,24,unscrew bucket with hand,unscrew,bucket
972,921,16,28,attempt to remove turntable base,attempt to remove,turntable base
973,422,10,20,pass boom to other hand,pass,boom
974,803,11,4,tilt up chassis,tilt up,chassis
975,922,19,24,attempt to unscrew bucket,attempt to unscrew,bucket
976,1035,20,28,attempt to put down turntable base,attempt to put down,turntable base
977,1256,2,74,inspect cabin window,inspect,cabin window
978,771,6,43,screw jackhammer arm with screwdriver,screw,jackhammer arm
979,850,3,43,rotate jackhammer arm,rotate,jackhammer arm
980,517,1,43,put down jackhammer arm,put down,jackhammer arm
981,195,12,15,attempt to position rear body,attempt to position,rear body
982,518,0,43,pick up jackhammer arm,pick up,jackhammer arm
983,538,5,43,position jackhammer arm,position,jackhammer arm
984,878,8,43,position screw on jackhammer arm,position screw on,jackhammer arm
985,539,15,18,pull wheel,pull,wheel
986,554,2,43,inspect jackhammer arm,inspect,jackhammer arm
987,974,14,5,tilt down finished toy,tilt down,finished toy
988,1259,16,60,attempt to remove blade,attempt to remove,blade
989,1258,16,26,attempt to remove track,attempt to remove,track
990,555,2,26,inspect track,inspect,track
991,1166,10,26,pass track to other hand,pass,track
992,682,3,26,rotate track,rotate,track
993,704,0,60,pick up blade,pick up,blade
994,1257,10,60,pass blade to other hand,pass,blade
995,1260,3,60,rotate blade,rotate,blade
996,681,1,60,put down blade,put down,blade
997,1261,2,75,inspect figurine,inspect,figurine
998,1350,15,60,pull blade,pull,blade
999,1095,17,25,attempt to pick up front body,attempt to pick up,front body
1000,1094,13,26,push track,push,track
1001,851,5,60,position blade,position,blade
1002,679,8,60,position screw on blade,position screw on,blade
1003,680,6,60,screw blade with screwdriver,screw,blade
1004,1093,2,60,inspect blade,inspect,blade
1005,660,14,60,tilt down blade,tilt down,blade
1006,601,11,60,tilt up blade,tilt up,blade
1007,683,4,60,unscrew blade with screwdriver,unscrew,blade
1008,1097,4,60,unscrew blade with hand,unscrew,blade
1009,880,9,60,remove screw from blade,remove screw from,blade
1010,879,7,60,remove blade,remove,blade
1011,1036,4,56,unscrew chassis part with screwdriver,unscrew,chassis part
1012,1167,4,56,unscrew chassis part with hand,unscrew,chassis part
1013,923,8,56,position screw on chassis part,position screw on,chassis part
1014,705,12,26,attempt to position track,attempt to position,track
1015,1096,6,60,screw blade with hand,screw,blade
1016,852,15,2,pull screwdriver,pull,screwdriver
1017,706,6,34,screw ladder basket with screwdriver,screw,ladder basket
1018,1098,3,55,rotate lid,rotate,lid
1019,924,2,55,inspect lid,inspect,lid
1020,1262,12,55,attempt to position lid,attempt to position,lid
1021,975,15,10,pull interior,pull,interior
1022,556,3,20,rotate boom,rotate,boom
1023,727,17,20,attempt to pick up boom,attempt to pick up,boom
1024,1099,11,3,tilt up cabin,tilt up,cabin
1025,318,14,13,tilt down arm,tilt down,arm
1026,881,6,64,screw jackhammer with screwdriver,screw,jackhammer
1027,614,0,17,pick up diagram,pick up,diagram
1028,579,16,15,attempt to remove rear body,attempt to remove,rear body
1029,1100,20,25,attempt to put down front body,attempt to put down,front body
1030,976,17,13,attempt to pick up arm,attempt to pick up,arm
1031,804,12,36,attempt to position bulldozer arm,attempt to position,bulldozer arm
1032,1101,20,5,attempt to put down finished toy,attempt to put down,finished toy
1033,926,10,50,pass light to other hand,pass,light
1034,728,11,30,tilt up transport cabin,tilt up,transport cabin
1035,925,23,30,shake transport cabin,shake,transport cabin
1036,580,17,7,attempt to pick up roof,attempt to pick up,roof
1037,927,17,26,attempt to pick up track,attempt to pick up,track
1038,1168,22,26,attempt to screw track,attempt to screw,track
1039,640,1,17,put down diagram,put down,diagram
1040,445,0,47,pick up roller arm,pick up,roller arm
1041,476,2,47,inspect roller arm,inspect,roller arm
1042,430,4,37,unscrew roller with screwdriver,unscrew,roller
1043,519,3,47,rotate roller arm,rotate,roller arm
1044,882,4,47,unscrew roller arm with screwdriver,unscrew,roller arm
1045,444,4,44,unscrew push frame with screwdriver,unscrew,push frame
1046,508,9,44,remove screw from push frame,remove screw from,push frame
1047,460,1,44,put down push frame,put down,push frame
1048,459,0,44,pick up push frame,pick up,push frame
1049,805,10,44,pass push frame to other hand,pass,push frame
1050,458,8,44,position screw on push frame,position screw on,push frame
1051,806,6,37,screw roller with hand,screw,roller
1052,602,6,37,screw roller with screwdriver,screw,roller
1053,477,1,47,put down roller arm,put down,roller arm
1054,928,8,47,position screw on roller arm,position screw on,roller arm
1055,1102,6,47,screw roller arm with screwdriver,screw,roller arm
1056,1103,4,37,unscrew roller with hand,unscrew,roller
1057,977,3,44,rotate push frame,rotate,push frame
1058,520,6,44,screw push frame with hand,screw,push frame
1059,431,6,44,screw push frame with screwdriver,screw,push frame
1060,883,13,10,push interior,push,interior
1061,581,8,39,position screw on water tank part,position screw on,water tank part
1062,641,6,39,screw water tank part with screwdriver,screw,water tank part
1063,853,22,14,attempt to screw front bumper,attempt to screw,front bumper
1064,615,4,33,unscrew body with screwdriver,unscrew,body
1065,729,9,33,remove screw from body,remove screw from,body
1066,616,6,33,screw body with screwdriver,screw,body
1067,772,8,49,position screw on strap,position screw on,strap
1068,1351,13,75,push figurine,push,figurine
1069,854,9,35,remove screw from water tank,remove screw from,water tank
1070,1169,7,86,remove fire equipment,remove,fire equipment
1071,1104,16,86,attempt to remove fire equipment,attempt to remove,fire equipment
